Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment,Churn
6,4527.32,32,4,4,5,445,Champions,0
3,1298.66,9,5,3,4,534,Loyal Customers,0
1,334.93,335,1,1,2,112,Lost Customers,1
10,5417.93,4,5,5,5,555,Champions,0
1,460.40000000000003,38,3,1,2,312,Lost Customers,1
2,263.21000000000004,62,3,2,2,322,Lost Customers,1
2,433.74,165,2,2,2,222,Lost Customers,1
7,1246.1000000000001,15,4,5,4,454,Champions,0
1,1043.1,81,2,1,4,214,Lost Customers,1
3,403.70000000000005,20,4,3,2,432,Loyal Customers,0
11,4257.82,22,4,5,5,455,Champions,0
1,2169.39,336,1,1,5,115,Lost Customers,1
5,3723.87,95,2,4,5,245,At Risk,0
2,482.04999999999995,17,4,2,2,422,New  Customers,0
1,73.5,232,1,1,1,111,Lost Customers,1
3,1304.81,133,2,3,4,234,At Risk,0
2,397.88,25,4,2,2,422,New  Customers,0
1,176.5,283,1,1,1,111,Lost Customers,1
2,982.5699999999999,142,2,2,4,224,Lost Customers,1
2,132.18,65,3,2,1,321,Lost Customers,1
1,612.29,112,2,1,3,213,Lost Customers,1
1,1017.68,266,1,1,4,114,Lost Customers,1
1,383.7,352,1,1,2,112,Lost Customers,1
2,1312.06,77,2,2,4,224,Lost Customers,1
5,2481.6,27,4,4,5,445,Champions,0
5,2056.89,0,5,4,5,545,Champions,0
1,330.84,63,3,1,2,312,Lost Customers,1
5,2634.26,78,2,4,5,245,At Risk,0
1,599.68,142,2,1,3,213,Lost Customers,1
2,192.72,38,3,2,1,321,Lost Customers,1
11,1789.77,18,4,5,4,454,Champions,0
8,4485.72,8,5,5,5,555,Champions,0
3,1316.66,0,5,3,4,534,Loyal Customers,0
3,348.71000000000004,81,2,3,2,232,At Risk,0
6,1933.48,8,5,5,4,554,Champions,0
4,1662.28,59,3,4,4,344,Loyal Customers,0
1,125.22,14,4,1,1,411,New  Customers,0
1,349.83000000000004,29,4,1,2,412,New  Customers,0
1,1089.18,130,2,1,4,214,Lost Customers,1
2,716.35,91,2,2,3,223,Lost Customers,1
3,12601.830000000002,42,3,3,5,335,Loyal Customers,0
1,363.95,28,4,1,2,412,New  Customers,0
4,5568.35,21,4,4,5,445,Champions,0
17,13400.24,19,4,5,5,455,Champions,0
3,981.18,29,4,3,4,434,Loyal Customers,0
1,372.7,35,3,1,2,312,Lost Customers,1
2,1000.39,74,2,2,4,224,Lost Customers,1
2,1161.5,46,3,2,4,324,Lost Customers,1
2,207.79999999999998,197,1,2,1,121,Lost Customers,1
1,95.19999999999999,165,2,1,1,211,Lost Customers,1
1,964.83,78,2,1,4,214,Lost Customers,1
1,168.0,357,1,1,1,111,Lost Customers,1
2,437.82,38,3,2,2,322,Lost Customers,1
10,3692.28,7,5,5,5,555,Champions,0
2,599.56,49,3,2,3,323,Lost Customers,1
5,11990.960000000001,15,4,4,5,445,Champions,0
1,269.96,7,5,1,2,512,New  Customers,0
2,561.71,310,1,2,3,123,Lost Customers,1
3,2134.01,4,5,3,5,535,Loyal Customers,0
1,238.85,302,1,1,1,111,Lost Customers,1
7,3781.7400000000002,7,5,5,5,555,Champions,0
1,456.9,260,1,1,2,112,Lost Customers,1
1,145.92,288,1,1,1,111,Lost Customers,1
1,351.65,85,2,1,2,212,Lost Customers,1
10,9401.28,22,4,5,5,455,Champions,0
32,4124.69,1,5,5,5,555,Champions,0
2,519.61,39,3,2,3,323,Lost Customers,1
2,1020.42,8,5,2,4,524,New  Customers,0
1,160.54000000000002,226,1,1,1,111,Lost Customers,1
1,218.45,315,1,1,1,111,Lost Customers,1
5,1315.83,35,3,4,4,344,Loyal Customers,0
3,626.6,34,3,3,3,333,Loyal Customers,0
2,2794.51,20,4,2,5,425,New  Customers,0
1,440.42,77,2,1,2,212,Lost Customers,1
1,415.7,246,1,1,2,112,Lost Customers,1
1,197.71,39,3,1,1,311,Lost Customers,1
2,511.36,238,1,2,3,123,Lost Customers,1
15,7281.38,2,5,5,5,555,Champions,0
9,2338.15,3,5,5,5,555,Champions,0
2,2040.1,233,1,2,4,124,Lost Customers,1
1,196.94000000000003,16,4,1,1,411,New  Customers,0
1,144.0,7,5,1,1,511,New  Customers,0
1,214.89999999999998,38,3,1,1,311,Lost Customers,1
2,646.68,28,4,2,3,423,New  Customers,0
2,9864.26,210,1,2,5,125,Lost Customers,1
1,452.84999999999997,316,1,1,2,112,Lost Customers,1
2,437.6,91,2,2,2,222,Lost Customers,1
3,418.09999999999997,108,2,3,2,232,At Risk,0
10,3338.2200000000003,37,3,5,5,355,Loyal Customers,0
2,618.27,50,3,2,3,323,Lost Customers,1
4,3811.22,18,4,4,5,445,Champions,0
8,3023.08,9,5,5,5,555,Champions,0
7,1032.58,28,4,5,4,454,Champions,0
10,2599.04,28,4,5,5,455,Champions,0
5,577.0600000000001,189,1,4,3,143,At Risk,0
1,153.12,58,3,1,1,311,Lost Customers,1
1,739.1999999999999,21,4,1,3,413,New  Customers,0
2,254.18,78,2,2,2,222,Lost Customers,1
1,1579.51,59,3,1,4,314,Lost Customers,1
3,1126.85,77,2,3,4,234,At Risk,0
5,2099.54,22,4,4,5,445,Champions,0
1,1193.32,51,3,1,4,314,Lost Customers,1
1,704.0400000000001,73,2,1,3,213,Lost Customers,1
5,3344.38,56,3,4,5,345,Loyal Customers,0
1,315.6,277,1,1,2,112,Lost Customers,1
4,2291.19,1,5,4,5,545,Champions,0
2,713.3,94,2,2,3,223,Lost Customers,1
1,352.98,28,4,1,2,412,New  Customers,0
1,177.31,21,4,1,1,411,New  Customers,0
9,3641.24,15,4,5,5,455,Champions,0
3,1339.41,14,4,3,4,434,Loyal Customers,0
20,13689.67,1,5,5,5,555,Champions,0
1,180.1,231,1,1,1,111,Lost Customers,1
1,305.1,275,1,1,2,112,Lost Customers,1
2,641.13,105,2,2,3,223,Lost Customers,1
2,2683.82,211,1,2,5,125,Lost Customers,1
9,6620.48,22,4,5,5,455,Champions,0
7,4478.53,10,5,5,5,555,Champions,0
3,786.46,3,5,3,3,533,Loyal Customers,0
2,1270.88,9,5,2,4,524,New  Customers,0
1,640.5,56,3,1,3,313,Lost Customers,1
4,2163.98,58,3,4,5,345,Loyal Customers,0
2,1689.18,89,2,2,4,224,Lost Customers,1
8,6002.9,66,3,5,5,355,Loyal Customers,0
1,671.69,32,4,1,3,413,New  Customers,0
1,486.1,238,1,1,2,112,Lost Customers,1
3,1174.58,23,4,3,4,434,Loyal Customers,0
1,185.9,114,2,1,1,211,Lost Customers,1
3,1013.26,24,4,3,4,434,Loyal Customers,0
6,3344.64,127,2,5,5,255,At Risk,0
1,477.91,129,2,1,2,212,Lost Customers,1
4,1775.18,33,3,4,4,344,Loyal Customers,0
2,1346.97,4,5,2,4,524,New  Customers,0
12,3722.82,21,4,5,5,455,Champions,0
1,318.05,154,2,1,2,212,Lost Customers,1
3,623.51,106,2,3,3,233,At Risk,0
1,314.44,2,5,1,2,512,New  Customers,0
1,114.0,334,1,1,1,111,Lost Customers,1
1,919.98,330,1,1,3,113,Lost Customers,1
2,2209.85,148,2,2,5,225,Lost Customers,1
5,601.98,10,5,4,3,543,Loyal Customers,0
5,4051.17,16,4,4,5,445,Champions,0
4,1643.18,10,5,4,4,544,Champions,0
1,686.05,18,4,1,3,413,New  Customers,0
1,91.68,29,4,1,1,411,New  Customers,0
1,245.1,10,5,1,1,511,New  Customers,0
11,3849.78,0,5,5,5,555,Champions,0
9,4881.88,7,5,5,5,555,Champions,0
1,63.0,324,1,1,1,111,Lost Customers,1
1,620.13,57,3,1,3,313,Lost Customers,1
4,3807.15,11,5,4,5,545,Champions,0
3,2744.0299999999997,150,2,3,5,235,At Risk,0
5,2996.05,9,5,4,5,545,Champions,0
1,225.89999999999998,329,1,1,1,111,Lost Customers,1
2,610.52,4,5,2,3,523,New  Customers,0
4,1970.6,38,3,4,4,344,Loyal Customers,0
6,1331.39,24,4,5,4,454,Champions,0
12,17628.46,41,3,5,5,355,Loyal Customers,0
4,1113.02,58,3,4,4,344,Loyal Customers,0
4,862.81,0,5,4,3,543,Loyal Customers,0
22,13787.54,14,4,5,5,455,Champions,0
31,12279.82,3,5,5,5,555,Champions,0
15,8476.57,3,5,5,5,555,Champions,0
7,2283.63,7,5,5,5,555,Champions,0
6,2863.08,27,4,5,5,455,Champions,0
1,89.14,371,1,1,1,111,Lost Customers,1
1,4873.8099999999995,113,2,1,5,215,Lost Customers,1
2,1247.61,25,4,2,4,424,New  Customers,0
1,389.01,205,1,1,2,112,Lost Customers,1
6,1035.8,27,4,5,4,454,Champions,0
4,855.91,126,2,4,3,243,At Risk,0
2,869.67,69,3,2,3,323,Lost Customers,1
4,582.1,6,5,4,3,543,Loyal Customers,0
3,957.59,28,4,3,4,434,Loyal Customers,0
4,4939.99,7,5,4,5,545,Champions,0
2,797.71,79,2,2,3,223,Lost Customers,1
1,219.0,19,4,1,1,411,New  Customers,0
1,283.55,70,3,1,2,312,Lost Customers,1
8,2340.84,6,5,5,5,555,Champions,0
9,6868.29,14,4,5,5,455,Champions,0
1,603.42,291,1,1,3,113,Lost Customers,1
10,2712.91,29,4,5,5,455,Champions,0
15,9706.52,14,4,5,5,455,Champions,0
3,1149.02,96,2,3,4,234,At Risk,0
13,4396.13,28,4,5,5,455,Champions,0
1,848.55,0,5,1,3,513,New  Customers,0
5,4708.86,8,5,4,5,545,Champions,0
1,343.36,105,2,1,2,212,Lost Customers,1
2,1053.49,3,5,2,4,524,New  Customers,0
2,1030.98,150,2,2,4,224,Lost Customers,1
1,238.25,70,3,1,1,311,Lost Customers,1
2,644.95,4,5,2,3,523,New  Customers,0
25,5781.73,2,5,5,5,555,Champions,0
6,2656.13,31,4,5,5,455,Champions,0
4,997.63,84,2,4,4,244,At Risk,0
5,725.07,3,5,4,3,543,Loyal Customers,0
4,1031.41,4,5,4,4,544,Champions,0
1,427.8,370,1,1,2,112,Lost Customers,1
7,2609.1,27,4,5,5,455,Champions,0
7,3980.7,10,5,5,5,555,Champions,0
4,836.33,70,3,4,3,343,Loyal Customers,0
1,453.01,113,2,1,2,212,Lost Customers,1
12,18895.91,23,4,5,5,455,Champions,0
1,236.26000000000002,179,1,1,1,111,Lost Customers,1
1,383.95,233,1,1,2,112,Lost Customers,1
1,110.39999999999999,352,1,1,1,111,Lost Customers,1
2,779.5699999999999,314,1,2,3,123,Lost Customers,1
1,234.0,332,1,1,1,111,Lost Customers,1
1,155.35,371,1,1,1,111,Lost Customers,1
2,1013.04,77,2,2,4,224,Lost Customers,1
1,427.6,63,3,1,2,312,Lost Customers,1
2,540.13,133,2,2,3,223,Lost Customers,1
7,21279.29,51,3,5,5,355,Loyal Customers,0
11,4196.01,1,5,5,5,555,Champions,0
209,33053.19,0,5,5,5,555,Champions,0
5,4090.88,3,5,4,5,545,Champions,0
1,275.88,128,2,1,2,212,Lost Customers,1
1,4366.78,80,2,1,5,215,Lost Customers,1
6,21429.39,22,4,5,5,455,Champions,0
3,3010.74,235,1,3,5,135,At Risk,0
2,3811.95,280,1,2,5,125,Lost Customers,1
1,112.07999999999998,86,2,1,1,211,Lost Customers,1
13,7834.650000000001,15,4,5,5,455,Champions,0
2,2791.59,116,2,2,5,225,Lost Customers,1
3,1531.44,51,3,3,4,334,Loyal Customers,0
2,1898.52,7,5,2,4,524,New  Customers,0
2,494.08,137,2,2,3,223,Lost Customers,1
1,1693.88,316,1,1,4,114,Lost Customers,1
7,6989.63,3,5,5,5,555,Champions,0
1,1143.6,238,1,1,4,114,Lost Customers,1
1,1351.45,210,1,1,4,114,Lost Customers,1
1,892.47,59,3,1,3,313,Lost Customers,1
5,1386.04,16,4,4,4,444,Champions,0
6,822.23,19,4,5,3,453,Loyal Customers,0
8,3981.36,37,3,5,5,355,Loyal Customers,0
2,826.74,63,3,2,3,323,Lost Customers,1
5,2330.92,4,5,4,5,545,Champions,0
6,2225.91,1,5,5,5,555,Champions,0
2,532.8199999999999,8,5,2,3,523,New  Customers,0
1,311.95,363,1,1,2,112,Lost Customers,1
3,463.66,9,5,3,2,532,Loyal Customers,0
1,91.85,64,3,1,1,311,Lost Customers,1
1,324.92,191,1,1,2,112,Lost Customers,1
1,192.60000000000002,373,1,1,1,111,Lost Customers,1
1,400.53999999999996,256,1,1,2,112,Lost Customers,1
2,545.48,334,1,2,3,123,Lost Customers,1
2,860.41,52,3,2,3,323,Lost Customers,1
1,430.48,18,4,1,2,412,New  Customers,0
1,254.03,365,1,1,2,112,Lost Customers,1
3,6977.04,9,5,3,5,535,Loyal Customers,0
1,427.58,186,1,1,2,112,Lost Customers,1
3,483.65000000000003,36,3,3,2,332,Loyal Customers,0
1,489.31,177,2,1,3,213,Lost Customers,1
3,514.85,260,1,3,3,133,At Risk,0
1,229.64000000000001,44,3,1,1,311,Lost Customers,1
1,125.92,101,2,1,1,211,Lost Customers,1
2,1063.46,147,2,2,4,224,Lost Customers,1
2,572.2,95,2,2,3,223,Lost Customers,1
1,166.04,280,1,1,1,111,Lost Customers,1
1,1542.08,261,1,1,4,114,Lost Customers,1
4,942.34,2,5,4,4,544,Champions,0
1,92.72,213,1,1,1,111,Lost Customers,1
2,948.88,70,3,2,4,324,Lost Customers,1
5,1759.5,74,2,4,4,244,At Risk,0
1,397.12,59,3,1,2,312,Lost Customers,1
7,1474.72,2,5,5,4,554,Champions,0
3,430.15000000000003,5,5,3,2,532,Loyal Customers,0
6,1018.71,2,5,5,4,554,Champions,0
2,293.0,336,1,2,2,122,Lost Customers,1
6,6814.64,37,3,5,5,355,Loyal Customers,0
1,215.05,261,1,1,1,111,Lost Customers,1
2,383.03,31,4,2,2,422,New  Customers,0
1,417.38,144,2,1,2,212,Lost Customers,1
1,312.38,282,1,1,2,112,Lost Customers,1
4,2610.36,58,3,4,5,345,Loyal Customers,0
1,134.1,172,2,1,1,211,Lost Customers,1
2,671.95,33,3,2,3,323,Lost Customers,1
14,5591.42,2,5,5,5,555,Champions,0
4,2726.77,143,2,4,5,245,At Risk,0
25,3991.58,4,5,5,5,555,Champions,0
2,1118.99,69,3,2,4,324,Lost Customers,1
8,1702.26,65,3,5,4,354,Loyal Customers,0
2,325.96000000000004,28,4,2,2,422,New  Customers,0
4,354.09,266,1,4,2,142,At Risk,0
1,843.64,21,4,1,3,413,New  Customers,0
2,1010.29,30,4,2,4,424,New  Customers,0
1,131.81,96,2,1,1,211,Lost Customers,1
1,311.55,294,1,1,2,112,Lost Customers,1
6,1957.1000000000001,134,2,5,4,254,At Risk,0
3,1316.25,78,2,3,4,234,At Risk,0
1,38.1,372,1,1,1,111,Lost Customers,1
6,2170.78,7,5,5,5,555,Champions,0
2,1106.4,210,1,2,4,124,Lost Customers,1
1,521.2,51,3,1,3,313,Lost Customers,1
1,147.12,137,2,1,1,211,Lost Customers,1
2,1568.23,25,4,2,4,424,New  Customers,0
1,559.12,282,1,1,3,113,Lost Customers,1
7,4009.34,25,4,5,5,455,Champions,0
6,1607.0600000000002,185,1,5,4,154,At Risk,0
2,380.64,83,2,2,2,222,Lost Customers,1
2,599.97,326,1,2,3,123,Lost Customers,1
1,374.0,281,1,1,2,112,Lost Customers,1
2,343.2300000000001,142,2,2,2,222,Lost Customers,1
2,2218.02,57,3,2,5,325,Lost Customers,1
12,1535.77,3,5,5,4,554,Champions,0
2,854.99,235,1,2,3,123,Lost Customers,1
3,573.22,44,3,3,3,333,Loyal Customers,0
1,298.0,275,1,1,2,112,Lost Customers,1
2,1463.04,8,5,2,4,524,New  Customers,0
4,703.47,24,4,4,3,443,Loyal Customers,0
1,309.05,87,2,1,2,212,Lost Customers,1
3,1175.22,62,3,3,4,334,Loyal Customers,0
2,1378.4,67,3,2,4,324,Lost Customers,1
2,354.12,213,1,2,2,122,Lost Customers,1
1,376.71999999999997,23,4,1,2,412,New  Customers,0
3,331.0,185,1,3,2,132,At Risk,0
1,176.55,30,4,1,1,411,New  Customers,0
2,372.8,41,3,2,2,322,Lost Customers,1
2,216.5,204,1,2,1,121,Lost Customers,1
28,17654.54,8,5,5,5,555,Champions,0
1,138.68,264,1,1,1,111,Lost Customers,1
2,496.06,17,4,2,3,423,New  Customers,0
5,2919.81,11,5,4,5,545,Champions,0
2,750.0,175,2,2,3,223,Lost Customers,1
5,2178.67,39,3,4,5,345,Loyal Customers,0
8,3075.04,22,4,5,5,455,Champions,0
5,1662.3,2,5,4,4,544,Champions,0
5,2483.63,4,5,4,5,545,Champions,0
2,363.65,148,2,2,2,222,Lost Customers,1
4,2944.95,138,2,4,5,245,At Risk,0
1,594.0,127,2,1,3,213,Lost Customers,1
6,1335.19,7,5,5,4,554,Champions,0
1,162.78,16,4,1,1,411,New  Customers,0
37,16587.09,8,5,5,5,555,Champions,0
1,405.38,160,2,1,2,212,Lost Customers,1
1,172.82,63,3,1,1,311,Lost Customers,1
4,933.7,87,2,4,4,244,At Risk,0
2,694.05,4,5,2,3,523,New  Customers,0
5,2062.7000000000003,34,3,4,5,345,Loyal Customers,0
1,117.85,311,1,1,1,111,Lost Customers,1
2,415.8,77,2,2,2,222,Lost Customers,1
15,42055.96,21,4,5,5,455,Champions,0
3,607.53,23,4,3,3,433,Loyal Customers,0
7,2160.7,1,5,5,5,555,Champions,0
4,1063.9,16,4,4,4,444,Champions,0
4,1504.27,14,4,4,4,444,Champions,0
1,114.14,25,4,1,1,411,New  Customers,0
8,11581.8,63,3,5,5,355,Loyal Customers,0
2,899.69,54,3,2,3,323,Lost Customers,1
3,675.6,130,2,3,3,233,At Risk,0
2,604.51,35,3,2,3,323,Lost Customers,1
1,462.95,287,1,1,2,112,Lost Customers,1
6,1603.99,143,2,5,4,254,At Risk,0
7,2064.95,15,4,5,5,455,Champions,0
8,4167.22,30,4,5,5,455,Champions,0
3,1843.0,1,5,3,4,534,Loyal Customers,0
6,1064.07,8,5,5,4,554,Champions,0
4,1387.79,5,5,4,4,544,Champions,0
1,329.85,9,5,1,2,512,New  Customers,0
11,4757.16,0,5,5,5,555,Champions,0
1,108.07,305,1,1,1,111,Lost Customers,1
8,4017.54,9,5,5,5,555,Champions,0
2,266.39,6,5,2,2,522,New  Customers,0
8,1856.63,7,5,5,4,554,Champions,0
1,769.8100000000001,88,2,1,3,213,Lost Customers,1
1,160.18,9,5,1,1,511,New  Customers,0
2,1660.9,357,1,2,4,124,Lost Customers,1
1,135.95,111,2,1,1,211,Lost Customers,1
4,405.47,6,5,4,2,542,Loyal Customers,0
86,11189.91,3,5,5,5,555,Champions,0
1,144.8,197,1,1,1,111,Lost Customers,1
1,738.6,211,1,1,3,113,Lost Customers,1
1,39.239999999999995,155,2,1,1,211,Lost Customers,1
9,7374.900000000001,157,2,5,5,255,At Risk,0
2,372.21999999999997,29,4,2,2,422,New  Customers,0
1,390.54,242,1,1,2,112,Lost Customers,1
1,97.5,18,4,1,1,411,New  Customers,0
2,1239.38,0,5,2,4,524,New  Customers,0
2,558.7,73,2,2,3,223,Lost Customers,1
1,505.82,291,1,1,3,113,Lost Customers,1
15,6924.110000000001,2,5,5,5,555,Champions,0
3,409.5,30,4,3,2,432,Loyal Customers,0
2,503.76,22,4,2,3,423,New  Customers,0
4,414.76,22,4,4,2,442,Loyal Customers,0
3,974.4200000000001,3,5,3,4,534,Loyal Customers,0
1,211.32,84,2,1,1,211,Lost Customers,1
4,1226.89,21,4,4,4,444,Champions,0
3,455.88,195,1,3,2,132,At Risk,0
3,534.85,106,2,3,3,233,At Risk,0
13,9785.970000000001,3,5,5,5,555,Champions,0
1,120.94999999999999,317,1,1,1,111,Lost Customers,1
3,149.05,105,2,3,1,231,At Risk,0
18,5655.91,11,5,5,5,555,Champions,0
2,513.7,173,2,2,3,223,Lost Customers,1
1,81.57,55,3,1,1,311,Lost Customers,1
1,229.46999999999997,322,1,1,1,111,Lost Customers,1
1,50.550000000000004,371,1,1,1,111,Lost Customers,1
8,1646.8400000000001,8,5,5,4,554,Champions,0
13,4810.9400000000005,0,5,5,5,555,Champions,0
10,3466.2799999999997,10,5,5,5,555,Champions,0
5,3339.64,52,3,4,5,345,Loyal Customers,0
3,789.89,72,2,3,3,233,At Risk,0
1,204.0,6,5,1,1,511,New  Customers,0
28,7277.7,15,4,5,5,455,Champions,0
9,2616.38,3,5,5,5,555,Champions,0
2,689.9,63,3,2,3,323,Lost Customers,1
5,975.36,0,5,4,4,544,Champions,0
6,6912.0,113,2,5,5,255,At Risk,0
2,661.3199999999999,22,4,2,3,423,New  Customers,0
3,1247.5,30,4,3,4,434,Loyal Customers,0
2,752.4399999999999,10,5,2,3,523,New  Customers,0
2,1010.18,51,3,2,4,324,Lost Customers,1
1,190.55,356,1,1,1,111,Lost Customers,1
2,642.77,54,3,2,3,323,Lost Customers,1
2,921.88,73,2,2,3,223,Lost Customers,1
3,881.07,137,2,3,3,233,At Risk,0
3,908.46,79,2,3,3,233,At Risk,0
2,676.99,8,5,2,3,523,New  Customers,0
1,516.42,272,1,1,3,113,Lost Customers,1
1,560.47,290,1,1,3,113,Lost Customers,1
1,305.28000000000003,98,2,1,2,212,Lost Customers,1
2,629.31,30,4,2,3,423,New  Customers,0
10,3237.54,31,4,5,5,455,Champions,0
4,1819.41,13,4,4,4,444,Champions,0
2,656.6800000000001,63,3,2,3,323,Lost Customers,1
17,5836.86,14,4,5,5,455,Champions,0
1,348.15000000000003,211,1,1,2,112,Lost Customers,1
3,1214.41,77,2,3,4,234,At Risk,0
3,271.40000000000003,24,4,3,2,432,Loyal Customers,0
1,183.4,249,1,1,1,111,Lost Customers,1
1,307.53,253,1,1,2,112,Lost Customers,1
1,248.61,71,3,1,1,311,Lost Customers,1
1,346.98,190,1,1,2,112,Lost Customers,1
4,1105.59,12,5,4,4,544,Champions,0
1,205.86,372,1,1,1,111,Lost Customers,1
2,470.8,23,4,2,2,422,New  Customers,0
1,115.46000000000001,81,2,1,1,211,Lost Customers,1
2,344.0,9,5,2,2,522,New  Customers,0
24,4431.44,0,5,5,5,555,Champions,0
1,228.8,191,1,1,1,111,Lost Customers,1
1,177.15,266,1,1,1,111,Lost Customers,1
1,919.61,129,2,1,3,213,Lost Customers,1
